NÆo.	As equipes que ficarem em terceiro lugar													1A	1B	1D	1E	1G	1I	1K	1L
	avan‡am dos grupos.													vs	vs	vs	vs	vs	vs	vs	vs
	v																				
	t																				
	e																				
1					E	F	G	H	EU	J	K	L		3E	3J	3I	3F	3H	3G	3L	3 mil
2				D		F	G	H	EU	J	K	L		3H	3G	3I	3D	3J	3F	3L	3 mil
3				D	E		G	H	EU	J	K	L		3E	3J	3I	3D	3H	3G	3L	3 mil
4				D	E	F		H	EU	J	K	L		3E	3J	3I	3D	3H	3F	3L	3 mil
5				D	E	F	G		EU	J	K	L		3E	3G	3I	3D	3J	3F	3L	3 mil
6				D	E	F	G	H		J	K	L		3E	3G	3J	3D	3H	3F	3L	3 mil
7				D	E	F	G	H	EU		K	L		3E	3G	3I	3D	3H	3F	3L	3 mil
8				D	E	F	G	H	EU	J		L		3E	3G	3J	3D	3H	3F	3L	3I
9				D	E	F	G	H	EU	J	K			3E	3G	3J	3D	3H	3F	3I	3 mil
10			C			F	G	H	EU	J	K	L		3H	3G	3I	3C	3J	3F	3L	3 mil
11			C		E		G	H	EU	J	K	L		3E	3J	3I	3C	3H	3G	3L	3 mil
12			C		E	F		H	EU	J	K	L		3E	3J	3I	3C	3H	3F	3L	3 mil
13			C		E	F	G		EU	J	K	L		3E	3G	3I	3C	3J	3F	3L	3 mil
14			C		E	F	G	H		J	K	L		3E	3G	3J	3C	3H	3F	3L	3 mil
15			C		E	F	G	H	EU		K	L		3E	3G	3I	3C	3H	3F	3L	3 mil
16			C		E	F	G	H	EU	J		L		3E	3G	3J	3C	3H	3F	3L	3I
17			C		E	F	G	H	EU	J	K			3E	3G	3J	3C	3H	3F	3I	3 mil
18			C	D			G	H	EU	J	K	L		3H	3G	3I	3C	3J	3D	3L	3 mil
19			C	D		F		H	EU	J	K	L		3C	3J	3I	3D	3H	3F	3L	3 mil
20			C	D		F	G		EU	J	K	L		3C	3G	3I	3D	3J	3F	3L	3 mil
21			C	D		F	G	H		J	K	L		3C	3G	3J	3D	3H	3F	3L	3 mil
22			C	D		F	G	H	EU		K	L		3C	3G	3I	3D	3H	3F	3L	3 mil
23			C	D		F	G	H	EU	J		L		3C	3G	3J	3D	3H	3F	3L	3I
24			C	D		F	G	H	EU	J	K			3C	3G	3J	3D	3H	3F	3I	3 mil
25			C	D	E			H	EU	J	K	L		3E	3J	3I	3C	3H	3D	3L	3 mil
26			C	D	E		G		EU	J	K	L		3E	3G	3I	3C	3J	3D	3L	3 mil
27			C	D	E		G	H		J	K	L		3E	3G	3J	3C	3H	3D	3L	3 mil
28			C	D	E		G	H	EU		K	L		3E	3G	3I	3C	3H	3D	3L	3 mil
29			C	D	E		G	H	EU	J		L		3E	3G	3J	3C	3H	3D	3L	3I
30			C	D	E		G	H	EU	J	K			3E	3G	3J	3C	3H	3D	3I	3 mil
31			C	D	E	F			EU	J	K	L		3C	3J	3E	3D	3I	3F	3L	3 mil
32			C	D	E	F		H		J	K	L		3C	3J	3E	3D	3H	3F	3L	3 mil
33			C	D	E	F		H	EU		K	L		3C	3E	3I	3D	3H	3F	3L	3 mil
34			C	D	E	F		H	EU	J		L		3C	3J	3E	3D	3H	3F	3L	3I
35			C	D	E	F		H	EU	J	K			3C	3J	3E	3D	3H	3F	3I	3 mil
36			C	D	E	F	G			J	K	L		3C	3G	3E	3D	3J	3F	3L	3 mil
37			C	D	E	F	G		EU		K	L		3C	3G	3E	3D	3I	3F	3L	3 mil
38			C	D	E	F	G		EU	J		L		3C	3G	3E	3D	3J	3F	3L	3I
39			C	D	E	F	G		EU	J	K			3C	3G	3E	3D	3J	3F	3I	3 mil
40			C	D	E	F	G	H			K	L		3C	3G	3E	3D	3H	3F	3L	3 mil
41			C	D	E	F	G	H		J		L		3C	3G	3J	3D	3H	3F	3L	3E
42			C	D	E	F	G	H		J	K			3C	3G	3J	3D	3H	3F	3E	3 mil
43			C	D	E	F	G	H	EU			L		3C	3G	3E	3D	3H	3F	3L	3I
44			C	D	E	F	G	H	EU		K			3C	3G	3E	3D	3H	3F	3I	3 mil
45			C	D	E	F	G	H	EU	J				3C	3G	3J	3D	3H	3F	3E	3I
46		B				F	G	H	EU	J	K	L		3H	3J	3B	3F	3I	3G	3L	3 mil
47		B			E		G	H	EU	J	K	L		3E	3J	3I	3B	3H	3G	3L	3 mil
48		B			E	F		H	EU	J	K	L		3E	3J	3B	3F	3I	3H	3L	3 mil
49		B			E	F	G		EU	J	K	L		3E	3J	3B	3F	3I	3G	3L	3 mil
50		B			E	F	G	H		J	K	L		3E	3J	3B	3F	3H	3G	3L	3 mil
51		B			E	F	G	H	EU		K	L		3E	3G	3B	3F	3I	3H	3L	3 mil
52		B			E	F	G	H	EU	J		L		3E	3J	3B	3F	3H	3G	3L	3I
53		B			E	F	G	H	EU	J	K			3E	3J	3B	3F	3H	3G	3I	3 mil
54		B		D			G	H	EU	J	K	L		3H	3J	3B	3D	3I	3G	3L	3 mil
55		B		D		F		H	EU	J	K	L		3H	3J	3B	3D	3I	3F	3L	3 mil
56		B		D		F	G		EU	J	K	L		3I	3G	3B	3D	3J	3F	3L	3 mil
57		B		D		F	G	H		J	K	L		3H	3G	3B	3D	3J	3F	3L	3 mil
58		B		D		F	G	H	EU		K	L		3H	3G	3B	3D	3I	3F	3L	3 mil
59		B		D		F	G	H	EU	J		L		3H	3G	3B	3D	3J	3F	3L	3I
60		B		D		F	G	H	EU	J	K			3H	3G	3B	3D	3J	3F	3I	3 mil
61		B		D	E			H	EU	J	K	L		3E	3J	3B	3D	3I	3H	3L	3 mil
62		B		D	E		G		EU	J	K	L		3E	3J	3B	3D	3I	3G	3L	3 mil
63		B		D	E		G	H		J	K	L		3E	3J	3B	3D	3H	3G	3L	3 mil
64		B		D	E		G	H	EU		K	L		3E	3G	3B	3D	3I	3H	3L	3 mil
65		B		D	E		G	H	EU	J		L		3E	3J	3B	3D	3H	3G	3L	3I
66		B		D	E		G	H	EU	J	K			3E	3J	3B	3D	3H	3G	3I	3 mil
67		B		D	E	F			EU	J	K	L		3E	3J	3B	3D	3I	3F	3L	3 mil
68		B		D	E	F		H		J	K	L		3E	3J	3B	3D	3H	3F	3L	3 mil
69		B		D	E	F		H	EU		K	L		3E	3I	3B	3D	3H	3F	3L	3 mil
70		B		D	E	F		H	EU	J		L		3E	3J	3B	3D	3H	3F	3L	3I
71		B		D	E	F		H	EU	J	K			3E	3J	3B	3D	3H	3F	3I	3 mil
72		B		D	E	F	G			J	K	L		3E	3G	3B	3D	3J	3F	3L	3 mil
73		B		D	E	F	G		EU		K	L		3E	3G	3B	3D	3I	3F	3L	3 mil
74		B		D	E	F	G		EU	J		L		3E	3G	3B	3D	3J	3F	3L	3I
75		B		D	E	F	G		EU	J	K			3E	3G	3B	3D	3J	3F	3I	3 mil
76		B		D	E	F	G	H			K	L		3E	3G	3B	3D	3H	3F	3L	3 mil
77		B		D	E	F	G	H		J		L		3H	3G	3B	3D	3J	3F	3L	3E
78		B		D	E	F	G	H		J	K			3H	3G	3B	3D	3J	3F	3E	3 mil
79		B		D	E	F	G	H	EU			L		3E	3G	3B	3D	3H	3F	3L	3I
80		B		D	E	F	G	H	EU		K			3E	3G	3B	3D	3H	3F	3I	3 mil
81		B		D	E	F	G	H	EU	J				3H	3G	3B	3D	3J	3F	3E	3I
82		B	C				G	H	EU	J	K	L		3H	3J	3B	3C	3I	3G	3L	3 mil
83		B	C			F		H	EU	J	K	L		3H	3J	3B	3C	3I	3F	3L	3 mil
84		B	C			F	G		EU	J	K	L		3I	3G	3B	3C	3J	3F	3L	3 mil
85		B	C			F	G	H		J	K	L		3H	3G	3B	3C	3J	3F	3L	3 mil
86		B	C			F	G	H	EU		K	L		3H	3G	3B	3C	3I	3F	3L	3 mil
87		B	C			F	G	H	EU	J		L		3H	3G	3B	3C	3J	3F	3L	3I
88		B	C			F	G	H	EU	J	K			3H	3G	3B	3C	3J	3F	3I	3 mil
89		B	C		E			H	EU	J	K	L		3E	3J	3B	3C	3I	3H	3L	3 mil
90		B	C		E		G		EU	J	K	L		3E	3J	3B	3C	3I	3G	3L	3 mil
91		B	C		E		G	H		J	K	L		3E	3J	3B	3C	3H	3G	3L	3 mil
92		B	C		E		G	H	EU		K	L		3E	3G	3B	3C	3I	3H	3L	3 mil
93		B	C		E		G	H	EU	J		L		3E	3J	3B	3C	3H	3G	3L	3I
94		B	C		E		G	H	EU	J	K			3E	3J	3B	3C	3H	3G	3I	3 mil
95		B	C		E	F			EU	J	K	L		3E	3J	3B	3C	3I	3F	3L	3 mil
96		B	C		E	F		H		J	K	L		3E	3J	3B	3C	3H	3F	3L	3 mil
97		B	C		E	F		H	EU		K	L		3E	3I	3B	3C	3H	3F	3L	3 mil
98		B	C		E	F		H	EU	J		L		3E	3J	3B	3C	3H	3F	3L	3I
99		B	C		E	F		H	EU	J	K			3E	3J	3B	3C	3H	3F	3I	3 mil
100		B	C		E	F	G			J	K	L		3E	3G	3B	3C	3J	3F	3L	3 mil
101		B	C		E	F	G		EU		K	L		3E	3G	3B	3C	3I	3F	3L	3 mil
102		B	C		E	F	G		EU	J		L		3E	3G	3B	3C	3J	3F	3L	3I
103		B	C		E	F	G		EU	J	K			3E	3G	3B	3C	3J	3F	3I	3 mil
104		B	C		E	F	G	H			K	L		3E	3G	3B	3C	3H	3F	3L	3 mil
105		B	C		E	F	G	H		J		L		3H	3G	3B	3C	3J	3F	3L	3E
106		B	C		E	F	G	H		J	K			3H	3G	3B	3C	3J	3F	3E	3 mil
107		B	C		E	F	G	H	EU			L		3E	3G	3B	3C	3H	3F	3L	3I
108		B	C		E	F	G	H	EU		K			3E	3G	3B	3C	3H	3F	3I	3 mil
